product,origin,lowest_price,highest_price,date
agrest 1 kg,kraj,6.0,7.0,2021-07-01
ananas dekoracyjny szt.,import,3.6,4.2,2021-07-01
bakłażan 1 kg,import,4.0,4.4,2021-07-01
bakłażan 1 kg,kraj,0.0,5.0,2021-07-01
bataty 1 kg,import,8.0,9.0,2021-07-01
bób 1 kg,import,6.5,8.0,2021-07-01
botwinka pęczek,kraj,2.5,2.8,2021-07-01
brokuły szt.,kraj,3.0,4.0,2021-07-01
buraki czerwone 1 kg,kraj,2.0,4.0,2021-07-01
buraki czerwone młode pęczek,kraj,2.0,3.5,2021-07-01
cebula biała 1 kg,kraj,1.5,1.7,2021-07-01
cebula biała 1 kg,import,1.5,2.0,2021-07-01
cebula czerwona 1 kg,kraj,2.5,3.5,2021-07-01
cebula czosnkowa 1 kg,kraj,2.0,3.5,2021-07-01
cebula ze szczypiorem pęczek,kraj,2.0,2.5,2021-07-01
chrzan 1 kg,kraj,7.0,9.0,2021-07-01
cukinia 1 kg,kraj,2.4,3.0,2021-07-01
cykoria 1 kg,kraj,6.0,9.6,2021-07-01
czosnek 1 kg,import,10.0,13.0,2021-07-01
fasolka szparagowa 1 kg,kraj,10.0,12.0,2021-07-01
jabłka Empire 1 kg,kraj,2.0,3.0,2021-07-01
jabłka Rubinstar 1 kg,kraj,1.0,1.66,2021-07-01
jeżyny 1 kg,kraj,32.5,35.0,2021-07-01
kabaczek 1 kg,kraj,6.0,7.0,2021-07-01
kalafior szt.,kraj,4.0,6.0,2021-07-01
kalarepa szt.,kraj,1.5,1.8,2021-07-01
kapusta biała 1 kg,kraj,1.5,2.0,2021-07-01
kapusta biała młoda szt.,kraj,2.5,4.0,2021-07-01
kapusta czerwona 1 kg,kraj,2.5,3.5,2021-07-01
kapusta kiszona 1 kg,kraj,4.0,7.0,2021-07-01
kapusta pekińska 1 kg,kraj,3.0,4.0,2021-07-01
koperek pęczek,kraj,1.0,1.2,2021-07-01
marchew 1 kg,kraj,1.75,2.0,2021-07-01
marchew 1 kg,import,2.5,3.0,2021-07-01
marchew młoda pęczek,kraj,2.0,3.0,2021-07-01
nać pietruszki pęczek,kraj,1.0,1.2,2021-07-01
ogórek gruntowy 1 kg,kraj,3.0,4.0,2021-07-01
ogórek kiszony 1 kg,kraj,7.0,8.5,2021-07-01
ogórek kiszony małosolny 1 kg,kraj,9.0,11.0,2021-07-01
ogórek szklarniowy krótki 1 kg,kraj,1.0,2.0,2021-07-01
papryka czerwona 1 kg,import,8.3,13.0,2021-07-01
papryka zielona 1 kg,kraj,5.0,7.0,2021-07-01
papryka żółta 1 kg,import,8.3,13.0,2021-07-01
pieczarki 1 kg,kraj,6.0,6.5,2021-07-01
pietruszka korzeń 1 kg,kraj,10.0,12.0,2021-07-01
pietruszka młoda pęczek,kraj,2.5,4.0,2021-07-01
pomidor koktajlowy 1 kg,import,10.0,12.0,2021-07-01
pomidor malinowy 1 kg,kraj,2.5,4.0,2021-07-01
pomidor szklarniowy 1 kg,kraj,2.66,3.33,2021-07-01
por 1 kg,kraj,4.0,6.0,2021-07-01
por młody szt.,kraj,0.0,2.0,2021-07-01
rabarbar 1 kg,kraj,3.0,4.0,2021-07-01
rzodkiewka pęczek,kraj,1.2,1.6,2021-07-01
sałata karbowana szt.,kraj,1.87,2.9,2021-07-01
sałata lodowa szt.,kraj,2.0,3.0,2021-07-01
sałata masłowa szt.,kraj,1.87,2.5,2021-07-01
sałata mix 1 kg,import,20.0,25.0,2021-07-01
seler 1 kg,kraj,3.0,4.0,2021-07-01
seler młody pęczek,kraj,0.0,2.5,2021-07-01
seler naciowy szt.,import,2.5,2.9,2021-07-01
szczypiorek pęczek,kraj,1.2,1.33,2021-07-01
szparagi 1 kg,kraj,10.0,16.0,2021-07-01
szpinak 1 kg,kraj,5.0,6.5,2021-07-01
włoszczyzna szt.,kraj,3.75,4.75,2021-07-01
włoszczyzna młoda szt.,kraj,3.5,4.0,2021-07-01
ziemniak 1 kg,import,1.0,1.4,2021-07-01
ziemniak 1 kg,kraj,0.52,0.8,2021-07-01
ziemniak młody 1 kg,kraj,1.0,1.2,2021-07-01
ziemniak młody 1 kg,import,1.75,2.3,2021-07-01
ananasy miodowe szt.,import,8.0,10.0,2021-07-01
arbuz 1 kg,import,1.8,3.3,2021-07-01
awokado 1 kg,import,2.0,4.37,2021-07-01
banan 1 kg,import,4.5,5.31,2021-07-01
borówka amerykańska 1 kg,kraj,36.0,44.0,2021-07-01
borówka amerykańska 1 kg,import,28.0,35.0,2021-07-01
brzoskwinia 1 kg,import,7.0,9.0,2021-07-01
cytryny 1 kg,import,5.0,7.0,2021-07-01
czereśnie 1 kg,kraj,6.0,17.0,2021-07-01
czereśnie 1 kg,import,8.0,14.0,2021-07-01
granat szt.,import,6.0,12.0,2021-07-01
grapefruity 1 kg,import,6.0,15.0,2021-07-01
gruszka 1 kg,import,5.0,9.5,2021-07-01
gruszka konferencja 1 kg,kraj,3.3,4.75,2021-07-01
jabłka 1 kg,import,3.75,6.0,2021-07-01
jabłka alwa 1 kg,kraj,1.0,1.66,2021-07-01
jabłka cortland 1 kg,kraj,2.0,2.5,2021-07-01
jabłka gala 1 kg,kraj,1.33,2.0,2021-07-01
jabłka gloster 1 kg,kraj,1.0,1.5,2021-07-01
jabłka golden delicius 1 kg,kraj,1.33,2.0,2021-07-01
jabłka jonagold 1 kg,kraj,1.0,1.66,2021-07-01
jabłka jonagored 1 kg,kraj,1.0,1.66,2021-07-01
jabłka ligol 1 kg,kraj,1.0,1.75,2021-07-01
jabłka lobo 1 kg,kraj,1.66,2.3,2021-07-01
jabłka reneta szara 1 kg,kraj,2.0,3.0,2021-07-01
jabłka szampion 1 kg,kraj,1.0,1.66,2021-07-01
kiwi 1 kg,import,9.0,16.0,2021-07-01
maliny 1 kg,kraj,25.0,33.75,2021-07-01
mandarynki 1 kg,import,6.0,12.0,2021-07-01
mango szt.,import,2.0,12.0,2021-07-01
melon szt.,import,5.0,9.0,2021-07-01
morela 1 kg,import,7.5,11.0,2021-07-01
nektarynka 1 kg,import,7.0,10.0,2021-07-01
pomarańcze 1 kg,import,3.85,8.0,2021-07-01
porzeczka czarna 1 kg,kraj,0.0,36.0,2021-07-01
porzeczka czerwona 1 kg,kraj,36.0,40.0,2021-07-01
śliwki 1 kg,import,5.0,8.5,2021-07-01
truskawki 1 kg,kraj,4.0,8.0,2021-07-01
winogrona białe 1 kg,import,9.0,12.0,2021-07-01
winogrona ciemne 1 kg,import,9.0,12.0,2021-07-01
agrest 1 kg,kraj,6.0,7.0,2021-07-02
ananas dekoracyjny szt.,import,3.6,4.2,2021-07-02
bakłażan 1 kg,import,4.0,4.5,2021-07-02
bakłażan 1 kg,kraj,0.0,5.0,2021-07-02
bataty 1 kg,import,8.0,9.0,2021-07-02
bób 1 kg,kraj,6.5,7.5,2021-07-02
botwinka pęczek,kraj,2.5,2.8,2021-07-02
brokuły szt.,kraj,3.0,4.0,2021-07-02
buraki czerwone 1 kg,kraj,2.0,3.0,2021-07-02
buraki czerwone młode pęczek,kraj,1.5,2.5,2021-07-02
cebula biała 1 kg,kraj,1.5,1.7,2021-07-02
cebula biała 1 kg,import,1.5,2.0,2021-07-02
cebula czerwona 1 kg,kraj,2.5,3.5,2021-07-02
cebula czosnkowa 1 kg,kraj,2.0,3.5,2021-07-02
cebula ze szczypiorem pęczek,kraj,1.5,2.0,2021-07-02
chrzan 1 kg,kraj,7.0,9.0,2021-07-02
cukinia 1 kg,kraj,2.4,3.0,2021-07-02
cykoria 1 kg,kraj,6.0,9.6,2021-07-02
czosnek 1 kg,import,10.0,13.0,2021-07-02
fasolka szparagowa 1 kg,kraj,10.0,12.0,2021-07-02
jabłka Empire 1 kg,kraj,2.0,3.0,2021-07-02
jabłka Rubinstar 1 kg,kraj,1.0,1.66,2021-07-02
jagody 1 kg,kraj,0.0,26.0,2021-07-02
jeżyny 1 kg,kraj,32.5,35.0,2021-07-02
kabaczek 1 kg,kraj,6.0,7.0,2021-07-02
kalafior szt.,kraj,4.0,4.5,2021-07-02
kalarepa szt.,kraj,1.2,1.5,2021-07-02
kapusta biała 1 kg,kraj,1.5,2.0,2021-07-02
kapusta biała młoda szt.,kraj,2.0,3.0,2021-07-02
kapusta czerwona 1 kg,kraj,2.5,3.5,2021-07-02
kapusta kiszona 1 kg,kraj,4.0,7.0,2021-07-02
kapusta pekińska 1 kg,kraj,3.0,4.0,2021-07-02
koperek pęczek,kraj,1.0,1.3,2021-07-02
marchew 1 kg,kraj,2.0,2.5,2021-07-02
marchew 1 kg,import,2.3,2.8,2021-07-02
marchew młoda pęczek,kraj,2.0,2.5,2021-07-02
nać pietruszki pęczek,kraj,1.0,1.5,2021-07-02
ogórek gruntowy 1 kg,kraj,3.0,4.0,2021-07-02
ogórek kiszony 1 kg,kraj,7.0,8.5,2021-07-02
ogórek kiszony małosolny 1 kg,kraj,9.0,11.0,2021-07-02
ogórek szklarniowy krótki 1 kg,kraj,1.0,2.0,2021-07-02
papryka czerwona 1 kg,import,8.3,13.0,2021-07-02
papryka zielona 1 kg,kraj,5.0,7.0,2021-07-02
papryka żółta 1 kg,import,8.3,13.0,2021-07-02
pieczarki 1 kg,kraj,6.0,6.5,2021-07-02
pietruszka korzeń 1 kg,kraj,6.0,7.0,2021-07-02
pietruszka młoda pęczek,kraj,3.0,4.0,2021-07-02
pomidor koktajlowy 1 kg,import,10.0,12.0,2021-07-02
pomidor malinowy 1 kg,kraj,2.5,4.16,2021-07-02
pomidor szklarniowy 1 kg,kraj,2.66,3.5,2021-07-02
por 1 kg,kraj,4.0,6.0,2021-07-02
por 1 kg,import,5.0,6.5,2021-07-02
por młody szt.,kraj,0.0,2.0,2021-07-02
rabarbar 1 kg,kraj,3.0,4.0,2021-07-02
rzodkiewka pęczek,kraj,1.2,1.5,2021-07-02
sałata karbowana szt.,kraj,1.87,2.9,2021-07-02
sałata lodowa szt.,kraj,3.0,4.0,2021-07-02
sałata masłowa szt.,kraj,1.56,2.5,2021-07-02
sałata mix 1 kg,import,20.0,25.0,2021-07-02
seler 1 kg,kraj,2.0,3.0,2021-07-02
seler młody szt.,kraj,1.85,2.5,2021-07-02
seler naciowy szt.,import,2.5,2.9,2021-07-02
szczypiorek pęczek,kraj,1.2,1.33,2021-07-02
szparagi 1 kg,kraj,12.0,16.0,2021-07-02
szpinak 1 kg,kraj,5.0,6.5,2021-07-02
włoszczyzna szt.,kraj,3.75,4.75,2021-07-02
włoszczyzna młoda szt.,kraj,3.5,4.5,2021-07-02
ziemniak 1 kg,kraj,0.52,0.8,2021-07-02
ziemniak 1 kg,import,1.0,1.4,2021-07-02
ziemniak młody 1 kg,import,1.75,2.3,2021-07-02
ziemniak młody 1 kg,kraj,1.0,1.2,2021-07-02
ananasy miodowe szt.,import,8.0,10.0,2021-07-02
arbuz 1 kg,import,1.8,3.3,2021-07-02
awokado szt.,import,2.0,4.37,2021-07-02
banan 1 kg,import,4.5,5.31,2021-07-02
borówka amerykańska 1 kg,kraj,36.0,44.0,2021-07-02
borówka amerykańska 1 kg,import,28.0,35.0,2021-07-02
brzoskwinia 1 kg,import,7.0,9.0,2021-07-02
cytryny 1 kg,import,5.0,7.0,2021-07-02
czereśnie 1 kg,import,10.0,15.0,2021-07-02
czereśnie 1 kg,kraj,6.0,17.0,2021-07-02
granat szt.,import,6.0,12.0,2021-07-02
grapefruity 1 kg,import,6.0,15.0,2021-07-02
gruszka 1 kg,import,5.0,9.5,2021-07-02
gruszka konferencja 1 kg,kraj,3.3,4.75,2021-07-02
jabłka 1 kg,import,3.75,6.0,2021-07-02
jabłka alwa 1 kg,kraj,1.0,1.66,2021-07-02
jabłka cortland 1 kg,kraj,2.0,2.5,2021-07-02
jabłka gala 1 kg,kraj,1.33,2.0,2021-07-02
jabłka gloster 1 kg,kraj,1.0,1.5,2021-07-02
jabłka golden delicius 1 kg,kraj,1.33,2.0,2021-07-02
jabłka jonagold 1 kg,kraj,1.0,1.66,2021-07-02
jabłka jonagored 1 kg,kraj,1.0,1.66,2021-07-02
jabłka ligol 1 kg,kraj,1.0,1.75,2021-07-02
jabłka lobo 1 kg,kraj,1.66,2.3,2021-07-02
jabłka reneta szara 1 kg,kraj,2.0,3.0,2021-07-02
jabłka szampion 1 kg,kraj,1.0,1.66,2021-07-02
kiwi 1 kg,import,9.0,16.0,2021-07-02
maliny 1 kg,kraj,24.0,36.0,2021-07-02
mandarynki 1 kg,import,6.0,12.0,2021-07-02
mango szt.,import,2.0,12.0,2021-07-02
melon szt.,import,5.0,9.0,2021-07-02
morela 1 kg,import,7.5,11.0,2021-07-02
nektarynka 1 kg,import,7.0,10.0,2021-07-02
pomarańcze 1 kg,import,3.85,8.0,2021-07-02
porzeczka czarna 1 kg,kraj,0.0,36.0,2021-07-02
porzeczka czerwona 1 kg,kraj,36.0,40.0,2021-07-02
śliwki 1 kg,import,5.0,8.5,2021-07-02
truskawki 1 kg,kraj,4.0,10.0,2021-07-02
winogrona białe 1 kg,import,9.0,12.0,2021-07-02
winogrona ciemne 1 kg,import,9.0,12.0,2021-07-02
agrest kg,kraj,6.0,7.0,2021-07-05
ananas dekoracyjny szt.,import,3.6,4.2,2021-07-05
bakłażan kg,kraj,5.0,5.0,2021-07-05
bataty kg,kraj,8.0,9.0,2021-07-05
bób kg,kraj,6.5,7.5,2021-07-05
botwinka pęczek,kraj,2.5,2.8,2021-07-05
brokuły szt.,kraj,3.0,4.0,2021-07-05
buraki czerwone kg,kraj,2.0,3.0,2021-07-05
buraki czerwone młode pęczek,kraj,1.5,2.5,2021-07-05
cebula biała kg,kraj,1.5,1.7,2021-07-05
cebula czerwona kg,kraj,2.5,3.5,2021-07-05
cebula czosnkowa kg,kraj,2.0,3.5,2021-07-05
cebula dymka biała pęczek,kraj,1.5,2.0,2021-07-05
cebula ze szczypiorem pęczek,kraj,1.5,2.0,2021-07-05
chrzan kg,kraj,7.0,9.0,2021-07-05
cukinia kg,kraj,2.4,3.0,2021-07-05
cykoria kg,kraj,6.0,9.6,2021-07-05
czosnek kg,import,10.0,13.0,2021-07-05
fasolka szparagowa kg,kraj,10.0,12.0,2021-07-05
jabłka Empire kg,kraj,2.0,3.0,2021-07-05
jabłka Rubinstar kg,kraj,1.0,1.16,2021-07-05
jagody kg,kraj,26.0,26.0,2021-07-05
jeżyny kg,kraj,32.5,35.0,2021-07-05
kabaczek kg,kraj,6.0,7.0,2021-07-05
kalafior szt.,kraj,4.0,4.5,2021-07-05
kalarepa szt.,kraj,1.2,1.5,2021-07-05
kapusta biała kg,kraj,1.5,2.0,2021-07-05
kapusta biała młoda szt.,kraj,2.0,3.0,2021-07-05
kapusta czerwona kg,kraj,2.5,3.5,2021-07-05
kapusta kiszona kg,kraj,4.0,7.0,2021-07-05
kapusta pekińska kg,kraj,3.0,4.0,2021-07-05
koperek pęczek,kraj,1.0,1.3,2021-07-05
marchew kg,kraj,2.0,2.5,2021-07-05
marchew młoda pęczek,kraj,2.0,2.5,2021-07-05
nać pietruszki pęczek,kraj,1.0,1.5,2021-07-05
ogórek gruntowy kg,kraj,3.0,4.0,2021-07-05
ogórek kiszony kg,kraj,7.0,8.5,2021-07-05
ogórek kiszony małosolny kg,kraj,9.0,11.0,2021-07-05
ogórek szklarniowy krótki kg,kraj,1.0,2.0,2021-07-05
papryka zielona kg,kraj,5.0,7.0,2021-07-05
pieczarki kg,kraj,6.0,6.5,2021-07-05
pietruszka korzeń kg,kraj,6.0,7.0,2021-07-05
pietruszka młoda pęczek,kraj,3.0,4.0,2021-07-05
pomidor koktajlowy kg,kraj,2.66,3.5,2021-07-05
pomidor malinowy kg,kraj,2.5,4.16,2021-07-05
por kg,kraj,4.0,6.0,2021-07-05
por młody szt.,kraj,2.0,2.0,2021-07-05
rabarbar kg,kraj,3.0,4.0,2021-07-05
rzodkiewka pęczek,kraj,1.2,1.5,2021-07-05
sałata karbowana szt.,kraj,1.87,2.9,2021-07-05
sałata lodowa szt.,kraj,3.0,4.0,2021-07-05
sałata masłowa szt.,kraj,1.56,2.5,2021-07-05
seler kg,kraj,2.0,3.0,2021-07-05
seler młody pęczek,kraj,2.5,2.5,2021-07-05
seler naciowy pęczek,kraj,1.85,2.5,2021-07-05
szczypiorek pęczek,kraj,1.2,1.33,2021-07-05
szparagi kg,kraj,12.0,16.0,2021-07-05
szpinak kg,kraj,5.0,6.5,2021-07-05
włoszczyzna szt.,kraj,3.75,4.75,2021-07-05
włoszczyzna młoda szt.,kraj,3.5,4.5,2021-07-05
ziemniak młody kg,kraj,1.0,1.2,2021-07-05
ananasy miodowe szt.,import,8.0,10.0,2021-07-05
arbuz kg,import,1.8,3.3,2021-07-05
awokado szt.,import,2.0,4.37,2021-07-05
banan kg,import,4.5,5.31,2021-07-05
borówka amerykańska kg,import,28.0,35.0,2021-07-05
brzoskwinia kg,import,7.0,9.0,2021-07-05
cytryny kg,import,5.0,7.0,2021-07-05
czereśnie kg,import,10.0,15.0,2021-07-05
granat szt.,import,6.0,12.0,2021-07-05
grapefruity kg,import,6.0,15.0,2021-07-05
gruszka kg,import,5.0,9.5,2021-07-05
gruszka konferencja kg,kraj,3.3,4.75,2021-07-05
jabłka kg,import,3.75,6.0,2021-07-05
jabłka alwa kg,kraj,1.0,1.66,2021-07-05
jabłka cortland kg,kraj,2.0,2.5,2021-07-05
jabłka gala kg,kraj,1.33,2.0,2021-07-05
jabłka gloster kg,kraj,1.0,1.5,2021-07-05
jabłka golden delicius kg,kraj,1.33,2.0,2021-07-05
jabłka jonagold kg,kraj,1.0,1.66,2021-07-05
jabłka jonagored kg,kraj,1.0,1.66,2021-07-05
jabłka ligol kg,kraj,1.0,1.75,2021-07-05
jabłka lobo kg,kraj,1.66,2.3,2021-07-05
jabłka reneta szara kg,kraj,2.0,3.0,2021-07-05
jabłka szampion kg,kraj,1.0,1.66,2021-07-05
kiwi kg,import,9.0,16.0,2021-07-05
maliny kg,kraj,24.0,36.0,2021-07-05
mandarynki kg,import,6.0,12.0,2021-07-05
mango szt.,import,2.0,12.0,2021-07-05
melon szt.,import,5.0,9.0,2021-07-05
morela kg,import,7.5,11.0,2021-07-05
nektarynka kg,import,7.0,10.0,2021-07-05
pomarańcze kg,kraj,3.85,8.0,2021-07-05
porzeczka czarna kg,kraj,36.0,36.0,2021-07-05
porzeczka czerwona kg,kraj,36.0,40.0,2021-07-05
śliwki kg,import,5.0,8.5,2021-07-05
truskawki kg,kraj,4.0,10.0,2021-07-05
winogrona białe kg,import,9.0,12.0,2021-07-05
winogrona ciemne kg,import,9.0,12.0,2021-07-05
agrest kg,kraj,7.0,14.0,2021-07-06
ananas dekoracyjny szt.,import,3.6,10.0,2021-07-06
bakłażan kg,kraj,4.0,5.5,2021-07-06
bataty kg,import,8.0,9.0,2021-07-06
bób kg,kraj,6.0,8.0,2021-07-06
botwinka pęczek,kraj,2.0,2.5,2021-07-06
brokuły szt.,kraj,2.0,2.5,2021-07-06
buraki czerwone kg,kraj,2.0,2.5,2021-07-06
buraki czerwone młode pęczek,kraj,1.5,2.5,2021-07-06
cebula biała kg,kraj,1.5,1.7,2021-07-06
cebula czerwona kg,kraj,2.5,3.5,2021-07-06
cebula czosnkowa kg,kraj,2.0,3.5,2021-07-06
cebula dymka biała kg,kraj,1.5,2.5,2021-07-06
cebula ze szczypiorem pęczek,kraj,1.5,2.5,2021-07-06
chrzan kg,kraj,7.0,9.0,2021-07-06
cukinia kg,kraj,1.9,2.1,2021-07-06
cykoria kg,kraj,6.0,9.6,2021-07-06
czosnek kg,import,10.0,13.0,2021-07-06
fasolka szparagowa kg,kraj,9.0,12.0,2021-07-06
jabłka Empire kg,kraj,2.0,3.0,2021-07-06
jabłka Rubinstar kg,kraj,1.0,1.66,2021-07-06
jagody kg,kraj,20.0,23.0,2021-07-06
kabaczek kg,kraj,1.75,2.3,2021-07-06
kalafior kg,kraj,1.75,2.5,2021-07-06
kalarepa szt.,kraj,1.5,1.8,2021-07-06
kapusta biała kg,kraj,1.5,2.0,2021-07-06
kapusta biała młoda szt.,kraj,2.0,3.0,2021-07-06
kapusta czerwona kg,kraj,2.5,3.5,2021-07-06
kapusta kiszona kg,kraj,4.0,7.0,2021-07-06
kapusta pekińska kg,kraj,2.5,3.5,2021-07-06
koperek pęczek,kraj,1.0,1.35,2021-07-06
marchew kg,kraj,1.8,2.0,2021-07-06
marchew młoda pęczek,kraj,2.5,3.0,2021-07-06
nać pietruszki pęczek,kraj,1.0,1.2,2021-07-06
ogórek gruntowy kg,kraj,3.0,4.0,2021-07-06
ogórek kiszony kg,kraj,7.0,8.5,2021-07-06
ogórek kiszony małosolny kg,kraj,7.0,8.5,2021-07-06
ogórek szklarniowy krótki kg,kraj,1.75,2.2,2021-07-06
papryka czerwona kg,import,9.5,13.0,2021-07-06
papryka zielona kg,kraj,4.0,5.0,2021-07-06
papryka żółta kg,import,9.5,13.0,2021-07-06
pieczarki kg,kraj,6.0,6.5,2021-07-06
pietruszka korzeń kg,kraj,6.0,10.0,2021-07-06
pietruszka młoda kg,kraj,3.0,4.0,2021-07-06
pomidor koktajlowy kg,kraj,3.0,3.75,2021-07-06
pomidor malinowy kg,kraj,2.5,4.0,2021-07-06
por kg,kraj,4.0,6.0,2021-07-06
por młody szt.,kraj,1.5,2.0,2021-07-06
rabarbar kg,kraj,3.0,4.0,2021-07-06
rzodkiewka pęczek,kraj,1.0,1.5,2021-07-06
sałata karbowana szt.,kraj,1.87,2.9,2021-07-06
sałata lodowa szt.,kraj,2.0,3.0,2021-07-06
sałata masłowa szt.,kraj,1.56,2.5,2021-07-06
seler kg,kraj,2.5,4.0,2021-07-06
seler młody szt.,kraj,1.85,2.5,2021-07-06
seler naciowy szt.,kraj,2.5,3.5,2021-07-06
szczypiorek pęczek,kraj,1.2,1.33,2021-07-06
szparagi kg,kraj,18.0,22.0,2021-07-06
szpinak kg,kraj,7.0,9.0,2021-07-06
włoszczyzna szt.,kraj,3.75,4.75,2021-07-06
włoszczyzna młoda szt.,kraj,3.5,3.5,2021-07-06
ziemniak młody kg,kraj,1.0,1.25,2021-07-06
ananasy miodowe szt.,import,8.0,10.0,2021-07-06
arbuz kg,kraj,1.8,2.5,2021-07-06
awokado szt.,import,2.0,4.37,2021-07-06
banan kg,import,4.5,5.31,2021-07-06
borówka amerykańska kg,import,28.0,35.0,2021-07-06
brzoskwinia kg,import,7.0,9.0,2021-07-06
cytryny kg,import,5.0,7.0,2021-07-06
czereśnie kg,kraj,3.5,7.5,2021-07-06
granat szt.,import,6.0,12.0,2021-07-06
grapefruity kg,import,6.0,15.0,2021-07-06
gruszka kg,import,5.0,9.5,2021-07-06
gruszka konferencja kg,kraj,3.3,4.75,2021-07-06
jabłka alwa kg,kraj,1.0,1.66,2021-07-06
jabłka cortland kg,kraj,2.0,2.5,2021-07-06
jabłka gala kg,kraj,1.33,2.0,2021-07-06
jabłka gloster kg,kraj,1.0,1.5,2021-07-06
jabłka golden delicius kg,kraj,1.33,2.0,2021-07-06
jabłka jonagold kg,kraj,1.0,1.66,2021-07-06
jabłka jonagored kg,kraj,1.0,1.66,2021-07-06
jabłka ligol kg,kraj,1.0,1.75,2021-07-06
jabłka lobo kg,kraj,1.66,2.3,2021-07-06
jabłka reneta szara kg,kraj,2.0,3.0,2021-07-06
jabłka szampion kg,kraj,1.0,1.66,2021-07-06
kiwi kg,import,9.0,16.0,2021-07-06
maliny kg,kraj,8.0,15.0,2021-07-06
mandarynki kg,import,6.0,12.0,2021-07-06
mango szt.,import,2.0,12.0,2021-07-06
melon szt.,import,5.0,9.0,2021-07-06
morela kg,import,7.5,11.0,2021-07-06
nektarynka kg,import,7.0,10.0,2021-07-06
pomarańcze kg,import,3.85,8.0,2021-07-06
porzeczka czarna kg,kraj,15.0,18.0,2021-07-06
porzeczka czerwona kg,kraj,7.0,9.0,2021-07-06
śliwki kg,import,5.0,8.5,2021-07-06
truskawki kg,kraj,3.0,7.0,2021-07-06
winogrona białe kg,import,9.0,12.0,2021-07-06
winogrona ciemne kg,import,9.0,12.0,2021-07-06
wiśnia kg,kraj,10.0,12.0,2021-07-06
agrest kg,kraj,5.0,14.0,2021-07-07
ananas dekoracyjny szt.,import,3.6,4.2,2021-07-07
bakłażan kg,kraj,4.0,5.5,2021-07-07
bataty kg,import,7.0,8.0,2021-07-07
bób kg,kraj,5.5,7.0,2021-07-07
botwinka pęczek,kraj,2.0,2.5,2021-07-07
brokuły szt.,kraj,2.0,2.5,2021-07-07
buraki czerwone kg,kraj,1.4,1.85,2021-07-07
buraki czerwone młode pęczek,kraj,1.5,2.5,2021-07-07
cebula biała kg,kraj,1.2,1.5,2021-07-07
cebula czerwona kg,kraj,2.5,3.5,2021-07-07
cebula czosnkowa kg,kraj,2.0,3.5,2021-07-07
cebula ze szczypiorem pęczek,kraj,1.5,2.5,2021-07-07
chrzan kg,kraj,6.0,8.0,2021-07-07
cukinia kg,kraj,1.3,2.3,2021-07-07
cykoria kg,kraj,6.0,9.6,2021-07-07
czosnek kg,import,10.0,13.0,2021-07-07
fasolka szparagowa kg,kraj,7.0,9.0,2021-07-07
jabłka Empire kg,kraj,2.0,3.0,2021-07-07
jabłka Rubinstar kg,kraj,1.0,1.66,2021-07-07
jagody kg,kraj,20.0,23.0,2021-07-07
kabaczek kg,kraj,1.25,2.0,2021-07-07
kalafior szt.,kraj,1.75,2.5,2021-07-07
kalarepa szt.,kraj,1.5,1.8,2021-07-07
kapusta biała kg,kraj,1.0,1.75,2021-07-07
kapusta biała młoda szt.,kraj,2.0,3.0,2021-07-07
kapusta czerwona kg,kraj,1.85,3.0,2021-07-07
kapusta kiszona kg,kraj,4.0,7.0,2021-07-07
kapusta pekińska kg,kraj,2.85,3.75,2021-07-07
koperek pęczek,kraj,1.0,1.35,2021-07-07
marchew kg,kraj,1.7,2.0,2021-07-07
marchew młoda pęczek,kraj,2.0,2.75,2021-07-07
nać pietruszki pęczek,kraj,1.0,1.2,2021-07-07
ogórek gruntowy kg,kraj,2.0,4.0,2021-07-07
ogórek kiszony kg,kraj,7.0,8.5,2021-07-07
ogórek kiszony małosolny kg,kraj,7.0,10.0,2021-07-07
ogórek szklarniowy krótki kg,kraj,2.0,2.75,2021-07-07
papryka czerwona kg,import,9.5,13.0,2021-07-07
papryka zielona kg,kraj,4.0,5.0,2021-07-07
papryka żółta kg,import,9.5,13.0,2021-07-07
pieczarki kg,kraj,6.0,6.5,2021-07-07
pietruszka korzeń kg,kraj,6.0,10.0,2021-07-07
pietruszka młoda pęczek,kraj,3.0,4.0,2021-07-07
pomidor koktajlowy kg,import,8.0,10.0,2021-07-07
pomidor malinowy kg,kraj,3.0,4.0,2021-07-07
por kg,import,5.0,6.5,2021-07-07
por młody szt.,kraj,1.2,2.0,2021-07-07
rzodkiewka pęczek,kraj,1.0,1.75,2021-07-07
sałata karbowana szt.,kraj,1.87,2.9,2021-07-07
sałata lodowa szt.,kraj,2.0,3.0,2021-07-07
sałata masłowa szt.,kraj,1.56,2.5,2021-07-07
seler kg,kraj,2.5,4.0,2021-07-07
seler młody szt.,kraj,1.85,2.5,2021-07-07
seler naciowy szt.,kraj,2.5,3.5,2021-07-07
szczypiorek pęczek,kraj,1.2,1.33,2021-07-07
szparagi kg,kraj,18.0,22.0,2021-07-07
szpinak kg,kraj,7.0,9.0,2021-07-07
włoszczyzna szt.,kraj,3.75,4.75,2021-07-07
włoszczyzna młoda szt.,kraj,3.5,3.5,2021-07-07
ziemniak młody kg,kraj,1.0,1.25,2021-07-07
ananasy miodowe szt.,import,8.0,10.0,2021-07-07
arbuz kg,import,1.8,2.5,2021-07-07
awokado szt.,import,2.0,4.37,2021-07-07
banan kg,import,4.5,5.31,2021-07-07
